concept,stimulus_idx,split
Challenge,1,1
Challenge,2,1
Challenge,3,2
Challenge,4,2
Challenge,5,2
Challenge,6,1
Charity,1,1
Charity,2,1
Charity,3,2
Charity,4,2
Charity,5,1
Charity,6,2
Charming,1,1
Charming,2,1
Charming,3,1
Charming,4,2
Charming,5,2
Charming,6,2
Clothes,1,1
Clothes,2,2
Clothes,3,1
Clothes,4,2
Clothes,5,2
Clothes,6,1
Cockroach,1,1
Cockroach,2,1
Cockroach,3,2
Cockroach,4,2
Cockroach,5,1
Cockroach,6,2
Code,1,1
Code,2,1
Code,3,1
Code,4,2
Code,5,2
Code,6,2
Collection,1,1
Collection,2,1
Collection,3,2
Collection,4,2
Collection,5,1
Collection,6,2
Computer,1,1
Computer,2,1
Computer,3,1
Computer,4,2
Computer,5,2
Computer,6,2
Construction,1,1
Construction,2,1
Construction,3,2
Construction,4,2
Construction,5,2
Construction,6,1
Cook,1,1
Cook,2,2
Cook,3,1
Cook,4,1
Cook,5,2
Cook,6,2
Counting,1,1
Counting,2,1
Counting,3,2
Counting,4,1
Counting,5,2
Counting,6,2
Crazy,1,1
Crazy,2,1
Crazy,3,2
Crazy,4,2
Crazy,5,2
Crazy,6,1
Damage,1,1
Damage,2,1
Damage,3,2
Damage,4,2
Damage,5,2
Damage,6,1
Dance,1,1
Dance,2,1
Dance,3,2
Dance,4,2
Dance,5,1
Dance,6,2
Dangerous,1,1
Dangerous,2,1
Dangerous,3,1
Dangerous,4,2
Dangerous,5,2
Dangerous,6,2
Deceive,1,1
Deceive,2,1
Deceive,3,2
Deceive,4,1
Deceive,5,2
Deceive,6,2
Dedication,1,1
Dedication,2,1
Dedication,3,2
Dedication,4,1
Dedication,5,2
Dedication,6,2
Deliberately,1,1
Deliberately,2,1
Deliberately,3,1
Deliberately,4,2
Deliberately,5,2
Deliberately,6,2
Delivery,1,1
Delivery,2,1
Delivery,3,1
Delivery,4,2
Delivery,5,2
Delivery,6,2
Dessert,1,1
Dessert,2,1
Dessert,3,2
Dessert,4,1
Dessert,5,2
Dessert,6,2
Device,1,1
Device,2,2
Device,3,1
Device,4,2
Device,5,2
Device,6,1
Dig,1,1
Dig,2,1
Dig,3,1
Dig,4,2
Dig,5,2
Dig,6,2
Dinner,1,1
Dinner,2,1
Dinner,3,1
Dinner,4,2
Dinner,5,2
Dinner,6,2
Disease,1,1
Disease,2,1
Disease,3,1
Disease,4,2
Disease,5,2
Disease,6,2
Dissolve,1,1
Dissolve,2,1
Dissolve,3,2
Dissolve,4,1
Dissolve,5,2
Dissolve,6,2
Disturb,1,1
Disturb,2,1
Disturb,3,2
Disturb,4,2
Disturb,5,1
Disturb,6,2
Do,1,1
Do,2,1
Do,3,1
Do,4,2
Do,5,2
Do,6,2
Doctor,1,1
Doctor,2,1
Doctor,3,2
Doctor,4,2
Doctor,5,1
Doctor,6,2
Dog,1,1
Dog,2,2
Dog,3,1
Dog,4,2
Dog,5,1
Dog,6,2
Dressing,1,1
Dressing,2,2
Dressing,3,1
Dressing,4,1
Dressing,5,2
Dressing,6,2
Driver,1,1
Driver,2,1
Driver,3,2
Driver,4,2
Driver,5,2
Driver,6,1
Economy,1,1
Economy,2,1
Economy,3,2
Economy,4,1
Economy,5,2
Economy,6,2
Election,1,1
Election,2,1
Election,3,1
Election,4,2
Election,5,2
Election,6,2
Electron,1,1
Electron,2,1
Electron,3,2
Electron,4,2
Electron,5,2
Electron,6,1
Elegance,1,1
Elegance,2,1
Elegance,3,2
Elegance,4,1
Elegance,5,2
Elegance,6,2
Emotion,1,1
Emotion,2,1
Emotion,3,2
Emotion,4,2
Emotion,5,2
Emotion,6,1
Emotionally,1,1
Emotionally,2,1
Emotionally,3,1
Emotionally,4,2
Emotionally,5,2
Emotionally,6,2
Engine,1,1
Engine,2,1
Engine,3,2
Engine,4,2
Engine,5,1
Engine,6,2
Event,1,1
Event,2,2
Event,3,1
Event,4,1
Event,5,2
Event,6,2
Experiment,1,1
Experiment,2,1
Experiment,3,1
Experiment,4,2
Experiment,5,2
Experiment,6,2
Extremely,1,1
Extremely,2,2
Extremely,3,1
Extremely,4,1
Extremely,5,2
Extremely,6,2
Feeling,1,1
Feeling,2,2
Feeling,3,1
Feeling,4,1
Feeling,5,2
Feeling,6,2
Fight,1,1
Fight,2,2
Fight,3,1
Fight,4,2
Fight,5,1
Fight,6,2
Fish,1,1
Fish,2,1
Fish,3,1
Fish,4,2
Fish,5,2
Fish,6,2
Flow,1,1
Flow,2,1
Flow,3,2
Flow,4,1
Flow,5,2
Flow,6,2
Food,1,1
Food,2,1
Food,3,1
Food,4,2
Food,5,2
Food,6,2
Garbage,1,1
Garbage,2,1
Garbage,3,1
Garbage,4,2
Garbage,5,2
Garbage,6,2
Gold,1,1
Gold,2,1
Gold,3,1
Gold,4,2
Gold,5,2
Gold,6,2
Great,1,1
Great,2,1
Great,3,1
Great,4,2
Great,5,2
Great,6,2
Gun,1,1
Gun,2,1
Gun,3,2
Gun,4,1
Gun,5,2
Gun,6,2
Hair,1,1
Hair,2,1
Hair,3,2
Hair,4,1
Hair,5,2
Hair,6,2
Help,1,1
Help,2,1
Help,3,1
Help,4,2
Help,5,2
Help,6,2
Hurting,1,1
Hurting,2,1
Hurting,3,2
Hurting,4,2
Hurting,5,1
Hurting,6,2
Ignorance,1,1
Ignorance,2,1
Ignorance,3,2
Ignorance,4,2
Ignorance,5,1
Ignorance,6,2
Illness,1,1
Illness,2,1
Illness,3,2
Illness,4,2
Illness,5,1
Illness,6,2
Impress,1,1
Impress,2,1
Impress,3,1
Impress,4,2
Impress,5,2
Impress,6,2
Invention,1,1
Invention,2,1
Invention,3,1
Invention,4,2
Invention,5,2
Invention,6,2
Investigation,1,1
Investigation,2,1
Investigation,3,1
Investigation,4,2
Investigation,5,2
Investigation,6,2
Invisible,1,1
Invisible,2,1
Invisible,3,2
Invisible,4,2
Invisible,5,2
Invisible,6,1
Job,1,1
Job,2,1
Job,3,2
Job,4,1
Job,5,2
Job,6,2
Jungle,1,1
Jungle,2,1
Jungle,3,2
Jungle,4,2
Jungle,5,2
Jungle,6,1
Kindness,1,1
Kindness,2,1
Kindness,3,1
Kindness,4,2
Kindness,5,2
Kindness,6,2
King,1,1
King,2,2
King,3,1
King,4,2
King,5,2
King,6,1
Lady,1,1
Lady,2,1
Lady,3,2
Lady,4,2
Lady,5,2
Lady,6,1
Land,1,1
Land,2,1
Land,3,2
Land,4,1
Land,5,2
Land,6,2
Laugh,1,1
Laugh,2,1
Laugh,3,2
Laugh,4,1
Laugh,5,2
Laugh,6,2
Law,1,1
Law,2,2
Law,3,1
Law,4,1
Law,5,2
Law,6,2
Left,1,1
Left,2,1
Left,3,2
Left,4,1
Left,5,2
Left,6,2
Level,1,1
Level,2,2
Level,3,1
Level,4,2
Level,5,1
Level,6,2
Liar,1,1
Liar,2,1
Liar,3,2
Liar,4,1
Liar,5,2
Liar,6,2
Light,1,1
Light,2,2
Light,3,2
Light,4,1
Light,5,2
Light,6,1
Magic,1,1
Magic,2,1
Magic,3,2
Magic,4,1
Magic,5,2
Magic,6,2
Marriage,1,1
Marriage,2,1
Marriage,3,2
Marriage,4,2
Marriage,5,1
Marriage,6,2
Material,1,1
Material,2,1
Material,3,2
Material,4,2
Material,5,1
Material,6,2
Mathematical,1,1
Mathematical,2,2
Mathematical,3,1
Mathematical,4,2
Mathematical,5,1
Mathematical,6,2
Mechanism,1,1
Mechanism,2,1
Mechanism,3,1
Mechanism,4,2
Mechanism,5,2
Mechanism,6,2
Medication,1,1
Medication,2,1
Medication,3,1
Medication,4,2
Medication,5,2
Medication,6,2
Money,1,1
Money,2,2
Money,3,1
Money,4,1
Money,5,2
Money,6,2
Mountain,1,1
Mountain,2,1
Mountain,3,2
Mountain,4,2
Mountain,5,1
Mountain,6,2
Movement,1,1
Movement,2,1
Movement,3,1
Movement,4,2
Movement,5,2
Movement,6,2
Movie,1,1
Movie,2,1
Movie,3,2
Movie,4,1
Movie,5,2
Movie,6,2
Music,1,1
Music,2,1
Music,3,2
Music,4,1
Music,5,2
Music,6,2
Nation,1,1
Nation,2,1
Nation,3,2
Nation,4,2
Nation,5,1
Nation,6,2
News,1,1
News,2,1
News,3,1
News,4,2
News,5,2
News,6,2
Noise,1,1
Noise,2,2
Noise,3,1
Noise,4,1
Noise,5,2
Noise,6,2
Obligation,1,1
Obligation,2,1
Obligation,3,2
Obligation,4,1
Obligation,5,2
Obligation,6,2
Pain,1,1
Pain,2,1
Pain,3,2
Pain,4,2
Pain,5,2
Pain,6,1
Personality,1,1
Personality,2,1
Personality,3,1
Personality,4,2
Personality,5,2
Personality,6,2
Philosophy,1,1
Philosophy,2,1
Philosophy,3,1
Philosophy,4,2
Philosophy,5,2
Philosophy,6,2
Picture,1,1
Picture,2,1
Picture,3,1
Picture,4,2
Picture,5,2
Picture,6,2
Pig,1,1
Pig,2,1
Pig,3,2
Pig,4,1
Pig,5,2
Pig,6,2
Plan,1,1
Plan,2,2
Plan,3,1
Plan,4,2
Plan,5,1
Plan,6,2
Plant,1,1
Plant,2,1
Plant,3,2
Plant,4,1
Plant,5,2
Plant,6,2
Play,1,1
Play,2,1
Play,3,2
Play,4,1
Play,5,2
Play,6,2
Pleasure,1,1
Pleasure,2,2
Pleasure,3,1
Pleasure,4,2
Pleasure,5,2
Pleasure,6,1
Poor,1,1
Poor,2,1
Poor,3,2
Poor,4,1
Poor,5,2
Poor,6,2
Prison,1,1
Prison,2,1
Prison,3,1
Prison,4,2
Prison,5,2
Prison,6,2
Professional,1,1
Professional,2,1
Professional,3,1
Professional,4,2
Professional,5,2
Professional,6,2
Protection,1,1
Protection,2,1
Protection,3,2
Protection,4,1
Protection,5,2
Protection,6,2
Quality,1,1
Quality,2,1
Quality,3,1
Quality,4,2
Quality,5,2
Quality,6,2
Reaction,1,1
Reaction,2,2
Reaction,3,1
Reaction,4,2
Reaction,5,1
Reaction,6,2
Read,1,1
Read,2,2
Read,3,1
Read,4,2
Read,5,1
Read,6,2
Relationship,1,1
Relationship,2,1
Relationship,3,2
Relationship,4,1
Relationship,5,2
Relationship,6,2
Religious,1,1
Religious,2,1
Religious,3,2
Religious,4,2
Religious,5,2
Religious,6,1
Residence,1,1
Residence,2,1
Residence,3,2
Residence,4,1
Residence,5,2
Residence,6,2
Road,1,1
Road,2,2
Road,3,1
Road,4,2
Road,5,1
Road,6,2
Sad,1,1
Sad,2,1
Sad,3,2
Sad,4,2
Sad,5,1
Sad,6,2
Science,1,1
Science,2,2
Science,3,1
Science,4,1
Science,5,2
Science,6,2
Seafood,1,1
Seafood,2,1
Seafood,3,1
Seafood,4,2
Seafood,5,2
Seafood,6,2
Sell,1,1
Sell,2,1
Sell,3,2
Sell,4,2
Sell,5,2
Sell,6,1
Sew,1,1
Sew,2,1
Sew,3,1
Sew,4,2
Sew,5,2
Sew,6,2
Sexy,1,1
Sexy,2,2
Sexy,3,1
Sexy,4,2
Sexy,5,1
Sexy,6,2
Shape,1,1
Shape,2,1
Shape,3,1
Shape,4,2
Shape,5,2
Shape,6,2
Ship,1,1
Ship,2,1
Ship,3,2
Ship,4,2
Ship,5,2
Ship,6,1
Show,1,1
Show,2,1
Show,3,2
Show,4,2
Show,5,1
Show,6,2
Sign,1,1
Sign,2,1
Sign,3,2
Sign,4,1
Sign,5,2
Sign,6,2
Silly,1,1
Silly,2,1
Silly,3,2
Silly,4,2
Silly,5,1
Silly,6,2
Sin,1,1
Sin,2,1
Sin,3,2
Sin,4,2
Sin,5,1
Sin,6,2
Skin,1,1
Skin,2,2
Skin,3,1
Skin,4,2
Skin,5,1
Skin,6,2
Smart,1,1
Smart,2,2
Smart,3,1
Smart,4,2
Smart,5,1
Smart,6,2
Smiling,1,1
Smiling,2,1
Smiling,3,2
Smiling,4,1
Smiling,5,2
Smiling,6,2
Solution,1,1
Solution,2,1
Solution,3,2
Solution,4,1
Solution,5,2
Solution,6,2
Soul,1,1
Soul,2,1
Soul,3,2
Soul,4,2
Soul,5,2
Soul,6,1
Sound,1,1
Sound,2,1
Sound,3,2
Sound,4,2
Sound,5,1
Sound,6,2
Spoke,1,1
Spoke,2,1
Spoke,3,1
Spoke,4,2
Spoke,5,2
Spoke,6,2
Star,1,1
Star,2,2
Star,3,1
Star,4,2
Star,5,1
Star,6,2
Student,1,1
Student,2,1
Student,3,2
Student,4,2
Student,5,1
Student,6,2
Stupid,1,1
Stupid,2,1
Stupid,3,2
Stupid,4,2
Stupid,5,1
Stupid,6,2
Successful,1,1
Successful,2,1
Successful,3,1
Successful,4,2
Successful,5,2
Successful,6,2
Sugar,1,1
Sugar,2,1
Sugar,3,2
Sugar,4,2
Sugar,5,2
Sugar,6,1
Suspect,1,1
Suspect,2,1
Suspect,3,2
Suspect,4,2
Suspect,5,1
Suspect,6,2
Table,1,1
Table,2,1
Table,3,2
Table,4,2
Table,5,1
Table,6,2
Taste,1,1
Taste,2,1
Taste,3,2
Taste,4,2
Taste,5,2
Taste,6,1
Team,1,1
Team,2,1
Team,3,1
Team,4,2
Team,5,2
Team,6,2
Texture,1,1
Texture,2,1
Texture,3,1
Texture,4,2
Texture,5,2
Texture,6,2
Time,1,1
Time,2,1
Time,3,2
Time,4,1
Time,5,2
Time,6,2
Tool,1,1
Tool,2,2
Tool,3,1
Tool,4,1
Tool,5,2
Tool,6,2
Toy,1,1
Toy,2,1
Toy,3,1
Toy,4,2
Toy,5,2
Toy,6,2
Tree,1,1
Tree,2,2
Tree,3,1
Tree,4,1
Tree,5,2
Tree,6,2
Trial,1,1
Trial,2,2
Trial,3,1
Trial,4,1
Trial,5,2
Trial,6,2
Tried,1,1
Tried,2,1
Tried,3,1
Tried,4,2
Tried,5,2
Tried,6,2
Typical,1,1
Typical,2,1
Typical,3,1
Typical,4,2
Typical,5,2
Typical,6,2
Unaware,1,1
Unaware,2,1
Unaware,3,1
Unaware,4,2
Unaware,5,2
Unaware,6,2
Usable,1,1
Usable,2,2
Usable,3,1
Usable,4,1
Usable,5,2
Usable,6,2
Useless,1,1
Useless,2,1
Useless,3,2
Useless,4,1
Useless,5,2
Useless,6,2
Vacation,1,1
Vacation,2,1
Vacation,3,2
Vacation,4,2
Vacation,5,1
Vacation,6,2
War,1,1
War,2,1
War,3,2
War,4,1
War,5,2
War,6,2
Wash,1,1
Wash,2,1
Wash,3,2
Wash,4,2
Wash,5,2
Wash,6,1
Weak,1,1
Weak,2,1
Weak,3,2
Weak,4,1
Weak,5,2
Weak,6,2
Wear,1,1
Wear,2,1
Wear,3,1
Wear,4,2
Wear,5,2
Wear,6,2
Weather,1,1
Weather,2,1
Weather,3,2
Weather,4,2
Weather,5,2
Weather,6,1
Willingly,1,1
Willingly,2,2
Willingly,3,1
Willingly,4,1
Willingly,5,2
Willingly,6,2
Word,1,1
Word,2,1
Word,3,2
Word,4,2
Word,5,1
Word,6,2
